"year","homrate","source"
1900,6.4,"histstat"
1901,7.7,"histstat"
1902,6.5,"histstat"
1903,7.7,"histstat"
1904,8.3,"histstat"
1905,8.1,"histstat"
1906,8.4,"histstat"
1907,7.9,"histstat"
1908,7.9,"histstat"
1909,7.1,"histstat"
1910,7.9,"histstat"
1911,8.7,"histstat"
1912,8.4,"histstat"
1913,9.1,"histstat"
1914,9.4,"histstat"
1915,8.9,"histstat"
1916,8.9,"histstat"
1917,9.1,"histstat"
1918,7.9,"histstat"
1919,8.2,"histstat"
1920,7.8,"histstat"
1921,9.3,"histstat"
1922,8.7,"histstat"
1923,8.8,"histstat"
1924,9.1,"histstat"
1925,9.3,"histstat"
1926,9.4,"histstat"
1927,9.2,"histstat"
1928,9.1,"histstat"
1929,8.8,"histstat"
1930,9.2,"histstat"
1931,9.7,"histstat"
1932,9.5,"histstat"
1933,9.7,"histstat"
1934,9.5,"histstat"
1935,8.3,"histstat"
1936,8,"histstat"
1937,7.6,"histstat"
1938,6.8,"histstat"
1939,6.4,"histstat"
1940,6.2,"histstat"
1941,5.9,"histstat"
1942,5.7,"histstat"
1943,4.9,"histstat"
1944,4.7,"histstat"
1945,5.2,"histstat"
1946,6.1,"histstat"
1947,5.9,"histstat"
1948,5.8,"histstat"
1949,5.3,"histstat"
1950,5.2,"histstat"
1951,4.8,"histstat"
1952,5.1,"histstat"
1953,4.7,"histstat"
1954,4.7,"histstat"
1955,4.4,"histstat"
1956,4.5,"histstat"
1957,4.4,"histstat"
1958,4.5,"histstat"
1959,4.6,"histstat"
1960,4.7,"histstat"
1961,4.7,"histstat"
1962,4.9,"histstat"
1963,4.9,"histstat"
1964,5.2,"histstat"
1965,5.6,"histstat"
1966,6,"histstat"
1967,6.8,"histstat"
1968,7.4,"histstat"
1969,7.7,"histstat"
1970,8.3,"histstat"
1971,9.1,"histstat"
1972,9.4,"histstat"
1973,9.7,"histstat"
1974,10.1,"histstat"
1975,9.9,"histstat"
1976,9,"histstat"
1977,9.1,"histstat"
1978,9.2,"histstat"
1979,10,"histstat"
1980,10.7,"histstat"
1981,10.3,"histstat"
1982,9.7,"histstat"
1983,8.6,"histstat"
1984,8.4,"histstat"
1985,8.3,"histstat"
1986,9,"histstat"
1987,8.7,"histstat"
1988,9,"histstat"
1989,9.3,"histstat"
1990,10,"histstat"
1991,10.5,"histstat"
1992,10,"histstat"
1993,10.1,"histstat"
1994,9.6,"histstat"
1995,8.7,"histstat"
1996,7.9,"histstat"
1997,7.26666666666667,"histstat"
1998,6.63333333333333,NA
1999,6,"cdc"
2000,5.9,"cdc"
2001,6,"cdc"
2002,6.1,"cdc"
2003,6,"cdc"
2004,5.9,"cdc"
2005,6.1,"cdc"
2006,6.1,"cdc"
2007,6,"cdc"
2008,5.8,"cdc"
2009,5.4,"cdc"
2010,5.2,"cdc"
2011,5.1,"cdc"
2012,5.2,"cdc"
2013,5,"cdc"
2014,4.9,"cdc"
2015,5.5,"cdc"
2016,5.9,"cdc"
