"year_f","race_f","ageg_f","sex_f","ed_f","inst_t","inc_t","pop"
1980,1,1,1,1,70240,5000,19522240
1980,1,1,1,2,820,280,66440
1980,1,1,1,3,80,40,4040
1980,1,1,1,4,0,0,100
1980,1,1,2,1,29120,520,18580600
1980,1,1,2,2,200,0,94220
1980,1,1,2,3,0,0,4480
1980,1,2,1,1,154080,106960,8706080
1980,1,2,1,2,109840,72340,16569660
1980,1,2,1,3,43680,27460,9451900
1980,1,2,1,4,18480,8580,9054980
1980,1,2,2,1,28260,4460,8447480
1980,1,2,2,2,27620,4040,19845580
1980,1,2,2,3,11060,1740,9431020
1980,1,2,2,4,5940,360,6521080
1980,1,3,1,1,271380,7540,10977020
1980,1,3,1,2,84500,3160,6343880
1980,1,3,1,3,30100,1660,2564240
1980,1,3,1,4,33600,1140,3321020
1980,1,3,2,1,575960,880,13559400
1980,1,3,2,2,223020,600,9799440
1980,1,3,2,3,90300,220,3401800
1980,1,3,2,4,71180,140,2439640
1980,2,1,1,1,27440,3860,3527920
1980,2,1,1,2,200,100,12080
1980,2,1,1,3,20,20,740
1980,2,1,2,1,7260,260,3492060
1980,2,1,2,2,40,0,19880
1980,2,1,2,3,0,0,1280
1980,2,2,1,1,118220,101140,1934420
1980,2,2,1,2,58120,49440,2084520
1980,2,2,1,3,24580,21940,1026300
1980,2,2,1,4,4780,3540,433320
1980,2,2,2,1,13060,5820,2002100
1980,2,2,2,2,6160,2640,2563980
1980,2,2,2,3,3080,1500,1283220
1980,2,2,2,4,880,420,530800
1980,2,3,1,1,35180,4360,1545680
1980,2,3,1,2,6140,1020,322820
1980,2,3,1,3,2160,480,129500
1980,2,3,1,4,1420,160,103380
1980,2,3,2,1,42600,340,2034340
1980,2,3,2,2,7040,0,495000
1980,2,3,2,3,1660,20,175460
1980,2,3,2,4,1800,0,150680
1980,3,1,1,1,3920,400,728640
1980,3,1,1,2,80,20,3620
1980,3,1,1,3,0,0,360
1980,3,1,2,1,1820,40,706160
1980,3,1,2,2,20,0,3460
1980,3,1,2,3,0,0,320
1980,3,2,1,1,9000,6920,322760
1980,3,2,1,2,6060,4580,413660
1980,3,2,1,3,2280,1760,336340
1980,3,2,1,4,740,480,413140
1980,3,2,2,1,1260,500,384180
1980,3,2,2,2,900,480,501340
1980,3,2,2,3,460,180,344100
1980,3,2,2,4,140,20,340220
1980,3,3,1,1,4420,400,198320
1980,3,3,1,2,960,60,99120
1980,3,3,1,3,380,40,42800
1980,3,3,1,4,300,40,67280
1980,3,3,2,1,3900,20,244140
1980,3,3,2,2,1160,20,132180
1980,3,3,2,3,300,0,46280
1980,3,3,2,4,260,0,40740
2014,1,1,1,1,46278,0,18693829
2014,1,1,1,2,2152,0,158722
2014,1,1,1,3,219,0,11696
2014,1,1,2,1,20893,0,17745564
2014,1,1,2,2,1044,0,180216
2014,1,1,2,3,44,0,15524
2014,1,2,1,1,230387,0,4617754
2014,1,2,1,2,441385,0,18343897
2014,1,2,1,3,131798,0,12635646
2014,1,2,1,4,23693,0,12941849
2014,1,2,2,1,32505,0,3481213
2014,1,2,2,2,63286,0,14572312
2014,1,2,2,3,30118,0,13787711
2014,1,2,2,4,5348,0,15444334
2014,1,3,1,1,140036,0,3804537
2014,1,3,1,2,259032,0,15488436
2014,1,3,1,3,104070,0,8455751
2014,1,3,1,4,79177,0,12948054
2014,1,3,2,1,197233,0,4274052
2014,1,3,2,2,397323,0,19537830
2014,1,3,2,3,128460,0,10094481
2014,1,3,2,4,87338,0,12054934
2014,2,1,1,1,36229,0,4536602
2014,2,1,1,2,1309,0,35944
2014,2,1,1,3,87,0,2827
2014,2,1,2,1,9540,0,4370357
2014,2,1,2,2,100,0,44882
2014,2,1,2,3,5,0,3288
2014,2,2,1,1,245510,0,1118371
2014,2,2,1,2,360944,0,4351474
2014,2,2,1,3,89840,0,2625900
2014,2,2,1,4,8680,0,1378238
2014,2,2,2,1,17885,0,860299
2014,2,2,2,2,20711,0,3691327
2014,2,2,2,3,9821,0,3475178
2014,2,2,2,4,1865,0,2095327
2014,2,3,1,1,78724,0,841799
2014,2,3,1,2,94656,0,2177826
2014,2,3,1,3,35674,0,1149841
2014,2,3,1,4,11174,0,834469
2014,2,3,2,1,45184,0,971620
2014,2,3,2,2,50402,0,2621680
2014,2,3,2,3,17304,0,1584780
2014,2,3,2,4,11802,0,1216093
2014,3,1,1,1,7940,0,3220250
2014,3,1,1,2,292,0,42373
2014,3,1,1,3,0,0,3165
2014,3,1,2,1,1856,0,3077068
2014,3,1,2,2,0,0,42708
2014,3,1,2,3,0,0,2775
2014,3,2,1,1,64533,0,1424306
2014,3,2,1,2,73377,0,2844936
2014,3,2,1,3,21814,0,1883238
2014,3,2,1,4,2410,0,2487271
2014,3,2,2,1,6890,0,1188987
2014,3,2,2,2,5592,0,2528738
2014,3,2,2,3,3397,0,2107610
2014,3,2,2,4,177,0,2871561
2014,3,3,1,1,14194,0,707644
2014,3,3,1,2,16029,0,1072035
2014,3,3,1,3,6224,0,602874
2014,3,3,1,4,5500,0,1136222
2014,3,3,2,1,13083,0,934025
2014,3,3,2,2,11075,0,1354683
2014,3,3,2,3,2924,0,700482
2014,3,3,2,4,2924,0,1122807
